,link_to_course,skills
155,https://ru.coursera.org/specializations/iot,"['arduino', 'python programming', 'internet of things (iot)', 'raspberry pi', 'microcontroller', 'embedded system design', 'wireshark', 'c programming', 'debugging', 'computer programming', 'application programming interfaces (api)']"
156,https://ru.coursera.org/learn/astro,"['solar systems', 'chemistry', 'theory of relativity', 'astrobiology']"
157,https://ru.coursera.org/learn/gis-data-acquisition-map-design,"['geographic information system (gis)', 'cartography', 'esri', 'mapping', 'spatial analysis']"
158,https://ru.coursera.org/learn/mountains-101,"['climate', 'history', 'ecology', 'geology', 'biodiversity']"
159,https://ru.coursera.org/learn/spatial-analysis-satellite-imagery-in-a-gis,"['geographic information system (gis)', 'cartography', 'esri', 'mapping', 'spatial analysis']"
160,https://ru.coursera.org/projects/behaviorspace-rawgraphs,"['modeling', 'data analysis', 'data visualization (dataviz)', 'abm']"
161,https://ru.coursera.org/projects/analises-rede,"['apresentação', 'métricas de rede', 'contação de história', 'pensamento complexo']"
162,https://ru.coursera.org/projects/build-neural-network,"['artificial neural network', 'python programming', 'networks']"
163,https://ru.coursera.org/projects/introducao-ao-inkscape,"['produzir diagramas de alta qualidade', 'edição de imagem', 'produzir pôster para congresso', 'edição de imagens vetorizadas']"
164,https://ru.coursera.org/specializations/cad-design-digital-manufacturing,"['computer-aided design (cad)', 'autodesk', 'manufacturing processes', 'sustainable design', 'mechanical design', '3d modeling', 'autocad']"
165,https://ru.coursera.org/specializations/digital-manufacturing-design-technology,"['artificial intelligence (ai)', 'digital design', 'manufacturing engineer', 'industry 4.0']"
166,https://ru.coursera.org/learn/lean-manufacturing-services,"['value stream mapping', 'lean manufacturing', 'lean thinking', 'lean methods']"
167,https://ru.coursera.org/learn/machine-learning,"['logistic regression', 'artificial neural network', 'machine learning (ml) algorithms', 'machine learning']"
168,https://ru.coursera.org/learn/intro-to-deep-learning,"['recurrent neural network', 'tensorflow', 'convolutional neural network', 'deep learning']"
169,https://ru.coursera.org/learn/arduino,"['electronics', 'computer programming', 'arduino', 'robotics']"
170,https://ru.coursera.org/learn/iot-architecture,"['internet of things (iot)', 'debugging', 'real-time operating system (rtos)']"
171,https://ru.coursera.org/learn/indigenous-canada,"['art history', 'art', 'history', 'mythology']"
172,https://ru.coursera.org/specializations/creative-writing,"['short story writing', 'fiction writing', 'creativity', 'copy editing']"
173,https://ru.coursera.org/specializations/ui-ux-design,"['website wireframe', 'strategy', 'user interface design (ui design)', 'user experience (ux)', 'user research', 'graphic design', 'adobe xd', 'adobe illustrator', 'invision', 'marvel', 'adobe indesign', 'treejack']"
174,https://ru.coursera.org/specializations/diy-musician,"['crowdfunding', 'music production', 'social media', 'songwriting', 'music recording', 'music', 'poetry', 'audio production', 'midi', 'pro tools', 'music business', 'marketing']"
175,https://ru.coursera.org/specializations/graphic-design,"['visual communication', 'branding communication', 'graphic design', 'art history', 'typography', 'creativity', 'graphics', 'design theory', 'color theory', 'adobe illustrator', 'history', 'adobe indesign']"
176,https://ru.coursera.org/specializations/modern-contemporary-art-design,"['photography', 'design', 'art', 'history', 'museums', 'creativity', 'art history', 'art direction']"
177,https://ru.coursera.org/specializations/singer-songwriter,"['music production', 'ableton', 'singing', 'songwriting', 'guitar', 'tablature', 'music notation', 'guitar scales', 'guitar chords', 'popular music', 'breathing techniques', 'belting']"
178,https://ru.coursera.org/learn/fundamentals-of-graphic-design,"['creativity', 'graphics', 'design theory', 'color theory']"
179,https://ru.coursera.org/learn/introclassicalmusic,"['art history', 'music', 'chord', 'history']"
180,https://ru.coursera.org/learn/painting,"['art history', 'art', 'history', 'color theory']"
181,https://ru.coursera.org/projects/draw-isometric-snow-globe-inkscape,"['inkscape', 'vector graphics', 'graphic design', 'isometric']"
182,https://ru.coursera.org/projects/master-bezier-pen-inkscape,"['inkscape', 'vector graphics', 'graphic design', 'bezier pen tool']"
183,https://ru.coursera.org/projects/create-emotes-inkscape,"['inkscape', 'graphic design', 'vectors', 'emotes']"
184,https://ru.coursera.org/projects/draw-isometric-house-inkscape,"['inkscape', 'vector graphics', 'graphic design', 'isometric design']"
185,https://ru.coursera.org/projects/draw-isometric-sign-post-inkscape,"['inkscape', 'vector graphics', 'graphic design', 'isometric design']"
186,https://ru.coursera.org/learn/fashion-design,"['art history', 'art', 'history', 'creativity']"
187,https://ru.coursera.org/learn/photography,"['photography', 'art', 'history', 'museums', 'art history']"
188,https://ru.coursera.org/learn/modern-art-ideas,"['creativity', 'art', 'history', 'art history', 'art direction']"
189,https://ru.coursera.org/specializations/photography-basics,"['social media', 'photography', 'copywriting', 'writing', 'confidence', 'history', 'creativity', 'art', 'project']"
190,https://ru.coursera.org/specializations/effective-business-communication,"['business writing', 'presentation', 'graphic design', 'writing', 'grammar', 'communication', 'graphics', 'typography', 'public speaking']"
191,https://ru.coursera.org/learn/poetry-workshop,"['music', 'poetry writing', 'art', 'creativity']"
192,https://ru.coursera.org/professional-certificates/ibm-data-analyst,"['microsoft excel', 'python programming', 'data analysis', 'data visualization (dataviz)', 'sql', 'data science', 'spreadsheet', 'pivot table', 'ibm cognos analytics', 'dashboard', 'pandas', 'numpy']"
193,https://ru.coursera.org/specializations/wharton-business-foundations,"['positioning (marketing)', 'marketing', 'marketing strategy', 'customer satisfaction', 'financial accounting', 'accounting', 'financial statement', 'balance sheet', 'decision-making', 'change management', 'human resources (hr)', 'discounted cash flow']"
194,https://ru.coursera.org/specializations/excel-mysql,"['binary classification', 'data analysis', 'tableau software', 'sql', 'business analysis', 'business analytics', 'business process', 'microsoft excel', 'linear regression', 'data visualization (dataviz)', 'visualization (computer graphics)', 'mysql']"
195,https://ru.coursera.org/specializations/project-management-success,"['project management', 'risk management', 'communication', 'negotiation', 'project', 'planning', 'project planning', 'change control', 'change management', 'proofreading', 'business writing', 'writing']"
196,https://ru.coursera.org/specializations/ibm-ai-foundations-for-business,"['data science', 'artificial intelligence (ai)', 'information technology (it) architecture', 'data architecture', 'leadership', 'deep learning', 'jobs', 'machine learning', 'management', 'analytics', 'innovation']"
197,https://ru.coursera.org/learn/excel-intermediate-1,"['concatenation', 'microsoft excel', 'consolization', 'pivot table', 'pivot chart']"
198,https://ru.coursera.org/learn/legaltech,"['prototipos de software legal', 'blockchain y la inteligencia artificial', 'administración de justicia', 'transformación digital del derecho', 'industria legal']"
199,https://ru.coursera.org/learn/effective-compliance-programs,"['management', 'strategic planning', 'compliance', 'organizational behavior']"
200,https://ru.coursera.org/projects/choosing-facebook-post-type-desired-engagement,"['social media strategy', 'marketing', 'facebook strategy', 'writing', 'business strategy']"
201,https://ru.coursera.org/projects/create-affinity-diagram-miro,"['analyzing complex problems', 'developing innovative solutions', 'project team management', 'idea generation', 'organizing data and business intelligence']"
202,https://ru.coursera.org/projects/how-create-facebook-business-manager-account,"['facebook', 'facebook business manager']"
203,https://ru.coursera.org/projects/crea-pagina-vistazo-empresa-canva,"['canva', 'marketing', 'graphic design']"
204,https://ru.coursera.org/projects/create-glance-page-company-canva,"['advertising', 'canva', 'marketing', 'graphic design']"
205,https://ru.coursera.org/specializations/strategic-leadership,"['strategic management', 'negotiation', 'leadership', 'business strategy', 'group decision-making', 'managing motivation', 'individual decision-making', 'communication in small groups', 'performance management', 'change management', 'conflict resolution', 'organizational structure']"
206,https://ru.coursera.org/specializations/value-chain-management,"['management accounting', 'quality control', 'operations management', 'marketing', 'cost accounting', 'activity based costing', 'cost', 'accounting', 'investment', 'analysis of variance (anova)', 'supply chain', 'inventory']"
