url_for_user,blocks,skills
https://netology.ru/programs/data-analyst,[],[]
https://netology.ru/programs/analitika-dlya-nachinayushchih-bp,"['Основной блок', 'О платформе']",[]
https://netology.ru/programs/android-app,[],['Вы освоите программирование на Java и Kotlin и разработку под Android. По результатам курса вы самостоятельно разработаете многоэкранное приложение на 2х языках.']
https://netology.ru/programs/front-end,[],"['HTML-разметка', 'Оформление при помощи CSS', 'Верстка веб-страниц на основе макета', 'Кроссбраузерная верстка', 'Решение задач с использованием JavaScript', 'Создание интерактивных веб-страниц', 'Обработка событий', 'AJAX', 'Веб-сокеты', 'Рисование в Canvas']"
https://netology.ru/programs/osnovy-sketchup,"['0. Подготовка к курсу', '1. Мудборд', '2. Гармоничное планирование пространства', '3. Тренды', '4. SketchUp', '5. SketchUp. Основы 2D и 3D моделирования', '6. SketchUp. Материал и текстура', '7. SketchUp. Работа с пространством', '8. SketchUp. Оформление проекта', 'Отзыв о курсе Дизайн интерьера']",[]
https://netology.ru/programs/ios-developer,[],"['Кроссбраузерная верстка HTML и CSS', 'Верстка веб-страниц на основе макета', 'PHP', 'Обработка форм', 'Генерация изображений', 'Объектно-ориентированное программирование', 'MySQL', 'Проектирование структуры базы данных', 'JavaScript', 'AJAX', 'Создание интерактивных веб-страниц']"
https://netology.ru/programs/excel,"['Основы работы в Excel', '1. Power Query', '4. Power Pivot', '2. Инструменты работы с большими таблицами', '5. Визуализация данных в Excel', '6. Дипломный блок', 'Развитие карьеры', 'Финальный разбор', '3. Обучение работе с формулами в Excel']","['Написание сложных формул', 'Продвинутая работа со сводными таблицами', 'Обработка и анализ больших объёмов данных', 'Построение наглядных отчётов в виде динамических диаграмм и графиков']"
https://netology.ru/programs/game-dev,"['Введение в Геймдизайн', 'Проектирование и создание игры Endless Runner в Unreal Engine 4', 'Проектирование и создание прототипа на Unity', 'Отзыв о курсе Введение в геймдизайн']",[]
https://netology.ru/programs/adobe-illustrator,"['Основы Adobe Illustrator', 'Отзыв о курсе Основы Adobe Illustrator']",[]
https://netology.ru/programs/osnovy-adobe-after-effects,"['Adobe After Effects', '1. Введение в After Effects', '2. Создание анимированного бэкграунда', '3. Типографика и работа с текстом', '4. Объединение 3D и видео', '5. Бонус-блок. Keying и Клинап', 'Отзыв о курсе']",[]
https://netology.ru/programs/prodatascience,[],[]
https://netology.ru/programs/start-ds,"['Важная информация для студента', ' Data Science - будущее для каждого', 'Опрос об обучении', '5 инструменов для начала работы в Data Science']",[]
https://netology.ru/programs/data_analyst_ultimate,[],[]
https://netology.ru/programs/restaurant_management,"['Вводный блок', ' 1. Ресторанный бизнес: организация и управление', ' 2. С чего начинается ресторан: 12 слагаемых успешного бизнеса', ' 3. Организация доставки', ' 4. Гастрономическая концепция ресторана: от основного меню до сезонных предложений', ' 5. Управление человеческим капиталом в ресторане. Как создать команду мечты', ' 6. Продвижение и создание ресторанного бренда. 4 ступени к завоеванию гостя.', 'Дипломный блок']",[]
https://netology.ru/programs/sql-lessons,"['Основы баз данных и SQL', 'Работа с базами данных', 'Итоговый проект', 'Дипломный блок', 'Профессия Дата-инженер', 'Вводный блок', 'демо блок']",[]
https://netology.ru/programs/seo-free,"['Подготовительный блок', 'Итоговый блок', 'Обзор рынка и развитие в SEO', 'С чего начать в SEO: навыки, базовые работы, процесс взаимодействия']",[]
